Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2026-03-13,BX,BLACKSTONE INC,Financials,Financials,48.0,14.0,-34.0
2026-03-13,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,34.0,27.0,-7.0
2026-03-13,C,CITIGROUP INC.,Financials,Financials,-64.0,-20.0,44.0
2026-03-13,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,23.0,13.0,-10.0
2026-03-13,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,-19.0,44.0,63.0
2026-03-13,CALM,"CAL-MAINE FOODS, INC.",,MR Discretion,-14.0,-35.0,-21.0
2026-03-13,CANE,TEUCRIUM:SUGAR,,Commodities,-60.0,-53.0,7.0
2026-03-13,CARR,CARRIER GLOBAL ,Industrials,Industrials,-12.0,13.0,25.0
2026-03-13,CAT,CATERPILLAR INC.,Industrials,Industrials,-41.0,-26.0,15.0
2026-03-13,CB,CHUBB LTD,Financials,Financials,13.0,26.0,13.0
2026-03-13,CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,Financials,12.0,-29.0,-41.0
2026-03-13,CBRE,"CBRE GROUP, INC.",Real Estate,Real Estate,22.0,15.0,-7.0
2026-03-13,CCI,CROWN CASTLE INC.,Real Estate,Real Estate,33.0,-37.0,-70.0
2026-03-13,CCJ,CAMECO ,,MR Discretion,9.0,8.0,-1.0
2026-03-13,CCL,CARNIVAL CORP,Consumer Discretionary,Consumer Discretionary,20.0,-0.0,-20.0
2026-03-13,CDNS,"CADENCE DESIGN SYSTEMS, INC.",Information Technology,Information Technology,31.0,-53.0,-84.0
2026-03-13,CDW,CDW ,Information Technology,Information Technology,22.0,4.0,-18.0
2026-03-13,CEG,CONSTELLATION ENERGY,Utilities,Utilities,3.0,-35.0,-38.0
2026-03-13,CF,"CF INDUSTRIES HOLDINGS, INC.",Materials,Materials,-45.0,-14.0,31.0
2026-03-13,CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,Financials,-57.0,-13.0,44.0
2026-03-13,CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,Consumer Staples,14.0,19.0,5.0
2026-03-13,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Industrials,Industrials,-44.0,-16.0,28.0
2026-03-13,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,Communication Services,3.0,-17.0,-20.0
2026-03-13,CI,THE CIGNA GROUP,Health Care,Health Care,30.0,-4.0,-34.0
2026-03-13,CIEN,CIENA CORPORATION,Information Technology,Information Technology,-11.0,5.0,16.0
2026-03-13,CINF,CINCINNATI FINANCIAL ,Financials,Financials,80.0,67.0,-13.0
2026-03-13,CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,Consumer Staples,8.0,13.0,5.0
2026-03-13,CLX,THE CLOROX COMPANY,Consumer Staples,Consumer Staples,35.0,37.0,2.0
2026-03-13,CMBT,CMB.TECH NV,,MR Discretion,27.0,35.0,8.0
2026-03-13,CMCSA,COMCAST ,Communication Services,Communication Services,77.0,36.0,-41.0
2026-03-13,CME,CME GROUP INC.,Financials,Financials,-31.0,19.0,50.0
2026-03-13,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,Consumer Discretionary,2.0,-16.0,-18.0
2026-03-13,CMI,CUMMINS INC.,Industrials,Industrials,-20.0,-18.0,2.0
2026-03-13,CMRE,COSTAMARE INC.,,MR Discretion,11.0,9.0,-2.0
2026-03-13,CMS,CMS ENERGY ,Utilities,Utilities,-25.0,-11.0,14.0
2026-03-13,CNC,CENTENE ,Health Care,Health Care,33.0,13.0,-20.0
2026-03-13,CNP,"CENTERPOINT ENERGY, INC.",Utilities,Utilities,-1.0,13.0,14.0
