Ticker,Ticker_name,Exposure,Date,wtd_pct_change
ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,2026-02-20,0.0174
AMGN,AMGEN INC.,Health Care,2026-02-20,0.0151
BAX,BAXTER INTERNATIONAL INC.,Health Care,2026-02-20,0.0904
BDX,"BECTON, DICKINSON AND COMPANY",Health Care,2026-02-20,0.054
BIIB,BIOGEN INC.,Health Care,2026-02-20,-0.0228
BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,2026-02-20,-0.0013
BSX,BOSTON SCIENTIFIC ,Health Care,2026-02-20,-0.002
CAH,"CARDINAL HEALTH, INC.",Health Care,2026-02-20,0.0165
CI,THE CIGNA GROUP,Health Care,2026-02-20,-0.0382
CNC,CENTENE ,Health Care,2026-02-20,0.0655
COO,"THE COOPER COMPANIES, INC.",Health Care,2026-02-20,0.013
COR,"CENCORA, INC.",Health Care,2026-02-20,0.0007
CRL,CHARLES RIVER LABORATORIES,Health Care,2026-02-20,0.0469
CVS,CVS HEALTH ,Health Care,2026-02-20,-0.0228
DGX,QUEST DIAGNOSTICS INC.,Health Care,2026-02-20,-0.0216
DHR,DANAHER ,Health Care,2026-02-20,-0.0145
DVA,DAVITA INC.,Health Care,2026-02-20,0.012
DXCM,"DEXCOM, INC.",Health Care,2026-02-20,0.0437
ELV,"ELEVANCE HEALTH, INC.",Health Care,2026-02-20,-0.0112
EW,EDWARDS LIFESCIENCES ,Health Care,2026-02-20,0.0515
GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,2026-02-20,0.0484
GILD,"GILEAD SCIENCES, INC.",Health Care,2026-02-20,-0.0231
HCA,"HCA HEALTHCARE, INC.",Health Care,2026-02-20,-0.0148
HOLX,"HOLOGIC, INC.",Health Care,2026-02-20,0.0052
HSIC,"HENRY SCHEIN, INC.",Health Care,2026-02-20,0.0176
HUM,HUMANA INC.,Health Care,2026-02-20,0.0311
IDXX,"IDEXX LABORATORIES, INC.",Health Care,2026-02-20,0.01
INCY,INCYTE ,Health Care,2026-02-20,0.0022
IQV,IQVIA HOLDINGS INC,Health Care,2026-02-20,-0.0079
ISRG,"INTUITIVE SURGICAL, INC.",Health Care,2026-02-20,0.0375
JNJ,JOHNSON & JOHNSON,Health Care,2026-02-20,-0.0039
LH,LABORATORY  OF AMERICA HOLDINGS,Health Care,2026-02-20,0.0001
LLY,ELI LILLY AND COMPANY,Health Care,2026-02-20,-0.0293
MCK,MCKESSON ,Health Care,2026-02-20,0.0136
MDT,MEDTRONIC PUBLIC LIMITED COMPANY,Health Care,2026-02-20,-0.0264
MOH,"MOLINA HEALTHCARE, INC.",Health Care,2026-02-20,0.1156
MRK,"MERCK & CO., INC.",Health Care,2026-02-20,0.007
MRNA,"MODERNA, INC.",Health Care,2026-02-20,0.1809
MTD,METTLER-TOLEDO INTERNATIONAL INC.,Health Care,2026-02-20,0.0122
PFE,PFIZER INC.,Health Care,2026-02-20,-0.0337
PODD,INSULET ,Health Care,2026-02-20,-0.0035
REGN,"REGENERON PHARMACEUTICALS, INC.",Health Care,2026-02-20,-0.0293
RMD,RESMED INC.,Health Care,2026-02-20,0.026
RVTY,"REVVITY, INC.",Health Care,2026-02-20,0.0448
SOLV,SOLVENTUM ,Health Care,2026-02-20,-0.0345
STE,STERIS PUBLIC LIMITED COMPANY,Health Care,2026-02-20,0.0093
SYK,STRYKER ,Health Care,2026-02-20,0.0387
TECH,BIO-TECHNE ,Health Care,2026-02-20,-0.0402
TMO,THERMO FISHER SCIENTIFIC INC.,Health Care,2026-02-20,0.0121
UHS,"UNIVERSAL HEALTH SERVICES, INC.",Health Care,2026-02-20,-0.0184
UNH,UNITEDHEALTH GROUP INC.,Health Care,2026-02-20,-0.0109
VRTX,VERTEX PHARMACEUTICALS INC.,Health Care,2026-02-20,-0.0296
VTRS,VIATRIS INC.,Health Care,2026-02-20,0.0095
WAT,WATERS ,Health Care,2026-02-20,0.0308
WST,"WEST PHARMACEUTICAL SERVICES, INC.",Health Care,2026-02-20,-0.0374
ZBH,"ZIMMER BIOMET HOLDINGS, INC.",Health Care,2026-02-20,0.0238
ZTS,ZOETIS INC.,Health Care,2026-02-20,0.0168
ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,2026-02-20,0.0111
ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,2026-02-20,-0.0967
AME,"AMETEK, INC.",Industrials,2026-02-20,0.0163
AOS,A. O. SMITH ,Industrials,2026-02-20,-0.0329
AXON,"AXON ENTERPRISE, INC.",Industrials,2026-02-20,0.0099
BA,THE BOEING COMPANY,Industrials,2026-02-20,-0.045
BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,2026-02-20,-0.0364
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,2026-02-20,0.0191
CARR,CARRIER GLOBAL ,Industrials,2026-02-20,-0.0193
CAT,CATERPILLAR INC.,Industrials,2026-02-20,-0.0187
CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Industrials,2026-02-20,0.0798
CMI,CUMMINS INC.,Industrials,2026-02-20,-0.0129
CPRT,"COPART, INC.",Industrials,2026-02-20,-0.0269
CSX,CSX ,Industrials,2026-02-20,0.0352
CTAS,CINTAS ,Industrials,2026-02-20,0.034
DAL,"DELTA AIR LINES, INC.",Industrials,2026-02-20,0.0064
DE,DEERE & COMPANY,Industrials,2026-02-20,0.0988
DOV,DOVER ,Industrials,2026-02-20,0.0073
EFX,EQUIFAX INC.,Industrials,2026-02-20,0.0242
EME,"EMCOR GROUP, INC.",Industrials,2026-02-20,0.0149
EMR,EMERSON ELECTRIC CO.,Industrials,2026-02-20,0.0033
ETN,EATON  PUBLIC LIMITED COMPANY,Industrials,2026-02-20,-0.0408
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,2026-02-20,0.0669
FAST,FASTENAL COMPANY,Industrials,2026-02-20,-0.0041
FDX,FEDEX ,Industrials,2026-02-20,0.0367
FIX,"COMFORT SYSTEMS USA, INC.",Industrials,2026-02-20,0.0929
FTV,FORTIVE ,Industrials,2026-02-20,0.0243
GD,GENERAL DYNAMICS ,Industrials,2026-02-20,0.0109
GE,GENERAL ELECTRIC COMPANY,Industrials,2026-02-20,0.0882
GEV,GE VERNOVA INC.,Industrials,2026-02-20,0.0352
GNRC,GENERAC HOLDINGS INC.,Industrials,2026-02-20,0.0211
GWW,"W.W. GRAINGER, INC.",Industrials,2026-02-20,-0.0038
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",Industrials,2026-02-20,0.0449
HON,HONEYWELL INTERNATIONAL INC.,Industrials,2026-02-20,0.0107
HUBB,HUBBELL INC.,Industrials,2026-02-20,0.005
HWM,HOWMET AEROSPACE INC.,Industrials,2026-02-20,0.0315
IEX,IDEX ,Industrials,2026-02-20,-0.0139
IR,INGERSOLL RAND INC.,Industrials,2026-02-20,-0.0296
ITW,ILLINOIS TOOL WORKS INC.,Industrials,2026-02-20,-0.0154
J,JACOBS SOLUTIONS INC.,Industrials,2026-02-20,0.0387
JBHT,"J. B. HUNT TRANSPORT SERVICES, INC.",Industrials,2026-02-20,0.0379
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,2026-02-20,0.0327
LDOS,"LEIDOS HOLDINGS, INC.",Industrials,2026-02-20,-0.0159
LHX,"L3HARRIS TECHNOLOGIES, INC.",Industrials,2026-02-20,0.0308
LII,LENNOX INTERNATIONAL INC.,Industrials,2026-02-20,-0.01
LMT,LOCKHEED MARTIN ,Industrials,2026-02-20,0.0087
LUV,SOUTHWEST AIRLINES CO.,Industrials,2026-02-20,0.0192
MAS,MASCO ,Industrials,2026-02-20,-0.0137
MMM,3M COMPANY,Industrials,2026-02-20,-0.0277
NDSN,NORDSON ,Industrials,2026-02-20,-0.0269
NOC,NORTHROP GRUMMAN ,Industrials,2026-02-20,0.0299
NSC,NORFOLK SOUTHERN ,Industrials,2026-02-20,0.0041
ODFL,"OLD DOMINION FREIGHT LINE, INC.",Industrials,2026-02-20,0.0423
OTIS,OTIS WORLDWIDE ,Industrials,2026-02-20,0.0316
PAYC,"PAYCOM SOFTWARE, INC.",Industrials,2026-02-20,-0.0846
PAYX,"PAYCHEX, INC.",Industrials,2026-02-20,-0.0333
PCAR,PACCAR INC,Industrials,2026-02-20,0.0115
PH,PARKER-HANNIFIN ,Industrials,2026-02-20,0.0204
PNR,PENTAIR PUBLIC LIMITED COMPANY,Industrials,2026-02-20,0.0065
PWR,"QUANTA SERVICES, INC.",Industrials,2026-02-20,0.0545
ROK,"ROCKWELL AUTOMATION, INC.",Industrials,2026-02-20,0.0112
ROL,"ROLLINS, INC.",Industrials,2026-02-20,0.0567
RSG,"REPUBLIC SERVICES, INC.",Industrials,2026-02-20,-0.0164
RTX,RTX ,Industrials,2026-02-20,0.0243
SNA,SNAP-ON INC.,Industrials,2026-02-20,0.0033
SWK,"STANLEY BLACK & DECKER, INC.",Industrials,2026-02-20,0.0099
TDG,TRANSDIGM GROUP INC.,Industrials,2026-02-20,0.0407
TT,TRANE TECHNOLOGIES PLC,Industrials,2026-02-20,0.004
TXT,TEXTRON INC.,Industrials,2026-02-20,0.0273
UAL,"UNITED AIRLINES HOLDINGS, INC.",Industrials,2026-02-20,0.0342
UBER,"UBER TECHNOLOGIES, INC.",Industrials,2026-02-20,0.0553
UNP,UNION PACIFIC ,Industrials,2026-02-20,0.0208
UPS,"UNITED PARCEL SERVICE, INC.",Industrials,2026-02-20,-0.021
URI,"UNITED RENTALS, INC.",Industrials,2026-02-20,0.0455
VLTO,VERALTO ,Industrials,2026-02-20,0.0058
VRSK,"VERISK ANALYTICS, INC.",Industrials,2026-02-20,0.0071
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES ,Industrials,2026-02-20,0.0341
WM,"WASTE MANAGEMENT, INC.",Industrials,2026-02-20,-0.018
XYL,XYLEM INC.,Industrials,2026-02-20,0.0045
AAPL,APPLE INC.,Information Technology,2026-02-20,0.0344
ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,2026-02-20,-0.0396
ADBE,ADOBE INC.,Information Technology,2026-02-20,-0.0203
ADI,"ANALOG DEVICES, INC.",Information Technology,2026-02-20,0.0532
ADSK,"AUTODESK, INC.",Information Technology,2026-02-20,-0.0183
AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,2026-02-20,-0.1574
AMAT,"APPLIED MATERIALS, INC.",Information Technology,2026-02-20,0.0577
AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,2026-02-20,-0.0346
ANET,"ARISTA NETWORKS, INC.",Information Technology,2026-02-20,-0.0622
APH,AMPHENOL ,Information Technology,2026-02-20,0.0294
APP,APPLOVIN CORP,Information Technology,2026-02-20,0.072
AVGO,BROADCOM INC.,Information Technology,2026-02-20,0.023
CDNS,"CADENCE DESIGN SYSTEMS, INC.",Information Technology,2026-02-20,-0.0106
CDW,CDW ,Information Technology,2026-02-20,-0.0175
CIEN,CIENA CORPORATION,Information Technology,2026-02-20,0.1021
CRM,"SALESFORCE, INC.",Information Technology,2026-02-20,-0.024
CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,2026-02-20,-0.0955
CSCO,"CISCO SYSTEMS, INC.",Information Technology,2026-02-20,0.0306
