Date,Ticker,Ticker_name,Exposure,Category,model_score
2026-04-10,EWS,ISHARES:MSCI SINGAPORE,,Foreign,-37.0
2026-04-10,EWT,ISHARES:MSCI TAIWAN,,Foreign,-11.0
2026-04-10,EWU,ISHARES:MSCI UK,,Foreign,-0.0
2026-04-10,EWW,ISHARES:MSCI MEXICO,,Foreign,-11.0
2026-04-10,EWY,ISHARES:MSCI S KOREA,,Foreign,14.0
2026-04-10,EWZ,ISHARES:MSCI BRAZIL,,Foreign,-31.0
2026-04-10,EXC,EXELON ,Utilities,Utilities,76.0
2026-04-10,EXE,EXPAND ENERGY ,Energy,Energy,63.0
2026-04-10,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,Industrials,4.0
2026-04-10,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,Consumer Discretionary,-5.0
2026-04-10,EXR,EXTRA SPACE STORAGE INC.,Real Estate,Real Estate,-22.0
2026-04-10,F,FORD MOTOR COMPANY,Consumer Discretionary,Consumer Discretionary,-5.0
2026-04-10,FANG,"DIAMONDBACK ENERGY, INC.",Energy,Energy,25.0
2026-04-10,FAST,FASTENAL COMPANY,Industrials,Industrials,-17.0
2026-04-10,FCX,FREEPORT-MCMORAN INC.,Materials,Materials,-9.0
2026-04-10,FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,Financials,-30.0
2026-04-10,FDX,FEDEX ,Industrials,Industrials,7.0
2026-04-10,FE,FIRSTENERGY CORP.,Utilities,Utilities,76.0
2026-04-10,FFIV,"F5, INC.",Information Technology,Information Technology,-8.0
2026-04-10,FICO,FAIR ISAAC ,Information Technology,Information Technology,-23.0
2026-04-10,FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,Financials,-10.0
2026-04-10,FISV,"FISERV, INC.",Financials,Financials,-31.0
2026-04-10,FITB,FIFTH THIRD BANCORP,Financials,Financials,-23.0
2026-04-10,FIX,"COMFORT SYSTEMS USA, INC.",Industrials,Industrials,74.0
2026-04-10,FOXA,FOX ,Communication Services,Communication Services,3.0
2026-04-10,FRO,FRONTLINE PLC,,MR Discretion,-7.0
2026-04-10,FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate,Real Estate,-36.0
2026-04-10,FSLR,"FIRST SOLAR, INC.",Information Technology,Information Technology,12.0
2026-04-10,FTI,TECHNIPFMC PLC,,MR Discretion,-21.0
2026-04-10,FTNT,"FORTINET, INC.",Information Technology,Information Technology,67.0
2026-04-10,FTV,FORTIVE ,Industrials,Industrials,-12.0
2026-04-10,FVX,5 YR TSY YLD NDX,Yields,Yields,-39.0
2026-04-10,FXA,INVESCO:AU DOLLAR,,Currencies,18.0
2026-04-10,FXB,INVESCO:GBP STERLING,,Currencies,-17.0
2026-04-10,FXC,INVESCO:CANADIAN DOLLAR,,Currencies,23.0
2026-04-10,FXE,INVESCO:EURO,,Currencies,-30.0
2026-04-10,FXY,INVESCO:JAPANESE YEN,,Currencies,-7.0
2026-04-10,GD,GENERAL DYNAMICS ,Industrials,Industrials,13.0
2026-04-10,GDDY,GODADDY INC.,Information Technology,Information Technology,-31.0
2026-04-10,GDX,VANECK:GOLD MINERS,,Commodities,32.0
2026-04-10,GDXJ,VANECK:JR GOLD MINERS,,Commodities,34.0
2026-04-10,GE,GENERAL ELECTRIC COMPANY,Industrials,Industrials,-22.0
2026-04-10,GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,Health Care,-24.0
2026-04-10,GEN,GEN DIGITAL INC.,Information Technology,Information Technology,48.0
2026-04-10,GEOS,GEOSPACE TECHNOLOGIES ,,MR Discretion,25.0
2026-04-10,GEV,GE VERNOVA INC.,Industrials,Industrials,11.0
2026-04-10,GGB,GERDAU SA,,MR Discretion,-2.0
2026-04-10,GILD,"GILEAD SCIENCES, INC.",Health Care,Health Care,79.0
